127.0.0.1 - - [07/Jun/2013:11:13:19 +0200] "GET /Formations/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:13:19 +0200] "GET /Formations/css/formationscss.css HTTP/1.1" 200 946
127.0.0.1 - - [07/Jun/2013:11:13:19 +0200] "GET /Formations/img/banniere16.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:13:37 +0200] "GET /Formations/accueil HTTP/1.1" 200 2883
127.0.0.1 - - [07/Jun/2013:11:13:37 +0200] "GET /Formations/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:13:37 +0200] "GET /Formations/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:13:37 +0200] "GET /Formations/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:13:37 +0200] "GET /Formations/css/formationscss.css HTTP/1.1" 200 957
127.0.0.1 - - [07/Jun/2013:11:13:37 +0200] "GET /Formations/img/banniere16.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:14:01 +0200] "GET /Formations/accueil HTTP/1.1" 200 2883
127.0.0.1 - - [07/Jun/2013:11:14:01 +0200] "GET /Formations/js/jquery-1.9.1.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:14:01 +0200] "GET /Formations/css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:14:01 +0200] "GET /Formations/css/formationscss.css HTTP/1.1" 200 957
127.0.0.1 - - [07/Jun/2013:11:14:01 +0200] "GET /Formations/js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:14:01 +0200] "GET /Formations/img/banniere16.jpg HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:14:25 +0200] "GET /Formations/clientsformation HTTP/1.1" 200 12574
127.0.0.1 - - [07/Jun/2013:11:14:25 +0200] "GET /Formations/js/jquery.tablesorter.js HTTP/1.1" 200 40914
127.0.0.1 - - [07/Jun/2013:11:14:25 +0200] "GET /Formations/css/formationscss.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:14:25 +0200] "GET /Formations/img/page.gif HTTP/1.1" 404 1008
127.0.0.1 - - [07/Jun/2013:11:14:31 +0200] "GET /Formations/formations HTTP/1.1" 200 14733
127.0.0.1 - - [07/Jun/2013:11:14:31 +0200] "GET /Formations/css/formationscss.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:14:34 +0200] "GET /Formations/formationsclient HTTP/1.1" 200 6563
127.0.0.1 - - [07/Jun/2013:11:14:34 +0200] "GET /Formations/js/jquery.chained.js HTTP/1.1" 200 2974
127.0.0.1 - - [07/Jun/2013:11:14:34 +0200] "GET /Formations/css/chosen.css HTTP/1.1" 200 14887
127.0.0.1 - - [07/Jun/2013:11:14:34 +0200] "GET /Formations/css/formationscss.css HTTP/1.1" 304 -
127.0.0.1 - - [07/Jun/2013:11:14:34 +0200] "GET /Formations/js/chosen.jquery.js HTTP/1.1" 200 38496
